series,代码,名称,市盈率,市净率,每股收益,每股净资产,净资产收益率,每股经营现金,每股公积金,每股未分配,股东权益比,净利润同比,主营收入同比,销售毛利率,调整每股净资,总资产,固定资产,总负债,股东权益,资本公积金,经营现金流量,投资现金流量,现金增加额,主营收入,主营利润,营业利润,利润总额,净利润,未分配利润,总股本,无限售股合计,A股,BBI,ARBR,KDJ,BOLL,OBV,BIAS,MACD,MA,PSY,WVAD,CD,MI,DMI-QLL,ABV,Z-SCORE,122日涨幅,122日振幅,122日换手,122日总量,92日涨幅,92日振幅,92日换手,92日总量,GB
395,'600552',凯盛科技,241.941,1.237,0.0156,3.01,0.0051,0.0777,1.267,0.704,46.987,15.82,50.45,14.933,3.001,499527,123306,252308,234715,135505,5958,-3137,5091,73431,10916,1383,2012,1199,57846,76705,74089,74089,7.729,93.931,45.501,7.758,53373072,-0.434,0.005,7.612,50,-30063.43,-0.11,-0.15,19.469,2135.321,1.089,-0.0354,0.2431,1.1598,8592969,0.0611,0.2375,0.8586,6361051,-0.073
2201,'300260',新莱应材,360.549,1.739,0.0156,3.277,0.0044,-0.0928,1.429,0.76,64.081,145.12,47.46,26.243,3.258,103587,32208,36523,66379,38962,-1875,-274,-798,14715,3717,522,533,316,15538,20194,10246,10246,12.305,53.397,22.054,12.978,7226614,-3.362,-0.445,11.81,25,-18654.104,-1.803,-1.58,11.972,289.19,1.833,-0.3133,0.3634,1.4631,1499028,-0.1165,0.2406,1.1164,1143884,-0.257
872,'000009',中国宝安,533.723,3.951,0.0156,2.107,0.0075,0.0292,0.152,0.813,20.006,11.06,-8.24,33.186,2.059,2263842,301470,1434796,452894,32683,6275,-77518,35912,126664,41298,8767,10604,3347,174802,214935,212007,212007,8.115,163.813,56.854,8.063,358077920,4.934,0.058,7.99,50,1747301.5,0.331,0.08,37.901,14316.143,0.589,-0.125,0.2833,1.0418,22086954,-0.082,0.2262,0.7887,16720392,-0.093
2273,'300346',南大光电,1400.388,2.95,0.0156,7.345,0.0021,-0.0144,4.107,1.975,93.218,283.68,4.45,45.904,7.339,127787,18468,6416,119121,66063,-231,-4538,-4798,2402,1026,21,288,250,32741,16086,12767,12767,22.644,90.128,29.341,23.109,4699540,-1.159,-0.424,21.964,33.333,-3838.743,-1.541,-2.3,15.412,188.092,12.32,-0.3179,0.4497,1.3136,1677089,-0.1546,0.2812,0.8837,1128188,-0.283
1181,'000861',海印股份,182.381,2.645,0.0158,1.369,0.0115,-0.0074,,0.219,29.951,3.3,-1.36,34.125,1.2,1035840,14151,707309,310240,5,-1675,-56041,-47588,48464,15912,4807,5851,3551,51537,224987,187211,187211,3.671,86.274,63.481,3.687,114947832,1.145,-0.022,3.634,41.667,-26261.602,-0.811,-0.09,26.957,4598.442,0.8,-0.2069,0.3039,0.3353,6277080,-0.1579,0.2311,0.2192,4104001,-0.193
717,'601011',宝泰隆  ,504.951,2.513,0.0159,3.194,0.005,0.0453,1.548,0.574,47.448,851.65,77.56,23.17,3.189,920700,193696,410712,436853,211758,6191,-10264,23433,60642,12992,2146,2650,2179,78461,136750,130875,130875,7.356,201.25,77.398,6.672,44938708,9.386,0.46,7.5,58.333,4804310.5,3.607,0.97,45.009,1816.372,0.648,0.1329,0.4462,1.9358,25334984,0.2756,0.5024,1.6938,22167056,0.162
1208,'000909',数源科技,700.035,3.354,0.016,3.339,0.0049,0.636,1.511,0.653,21.349,48.15,-19.93,11.953,3.337,488554,2073,366525,104301,47206,19852,-11836,24063,24174,2514,715,847,515,20389,31235,29400,29400,11.648,107.838,18.682,12.132,44687196,-0.703,-0.325,11.24,25,1953.744,-1.52,-1.28,16.905,1787.346,0.667,-0.2752,0.3239,0.6186,1818711,-0.1776,0.2234,0.4362,1282490,-0.243
1082,'000687',华讯方舟,792.34,7.07,0.016,1.793,0.009,-0.117,1.096,-0.326,35.992,-73.52,-41,36.112,1.781,377314,3992,239696,135804,82980,-8876,1424,-4295,28276,10063,1216,1990,1210,-24705,75737,53143,53143,14.351,78.873,8.721,14.841,68497544,-9.856,-0.398,14.08,25,-460601.375,-2.067,-2.17,5.746,2743.087,0.649,-0.2712,0.4689,2.6733,14206550,-0.2463,0.3318,1.417,7530169,-0.245
1391,'002147',新光圆成,937.923,2.856,0.016,5.255,0.003,-0.392,2.062,2.144,48.264,340.2,233.9,45.397,5.186,1531052,113499,789606,738942,289976,-55138,-3062,-54076,41752,16756,4242,4175,2226,301448,140621,41250,41250,15.189,83.827,42.401,15.375,12538891,0.287,-0.097,15.082,50,-10731.709,-0.503,-0.3,8.862,501.499,1.279,-0.0846,0.2189,0.7161,2954075,-0.0162,0.1339,0.4407,1817742,0.001
1274,'002003',伟星股份,524.345,2.115,0.0161,3.429,0.0042,0.0494,1.445,0.768,79.921,27.26,14.39,38.025,3.399,278255,97766,51073,222384,97720,2878,-12983,-9267,35117,12624,1440,1394,936,67216,58309,46352,46352,10.552,90,43.211,10.506,26901894,0.348,0.016,10.546,58.333,74067.102,-0.377,0,18.739,1075.793,3.322,-0.0501,0.136,0.4846,2246318.75,-0.056,0.1352,0.2951,1367779.13,-0.04
